Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,number_of_beds
442015,SSH -NORTH KNOXVILLE,1/1/2021,12/31/2021,68
452022,SSH - DALLAS  INC.,1/1/2021,12/31/2021,86
650003,GUAM REGIONAL MEDICAL CITY,1/1/2021,12/31/2021,111
20026,ALASKA NATIVE MEDICAL CENTER,10/1/2020,9/30/2021,174
41316,SMC MEDICAL CENTER,1/1/2021,12/31/2021,25
50528,MEMORIAL HOSPITAL - LOS BANOS,1/1/2021,12/31/2021,26
60011,DENVER HEALTH MEDICAL CENTER,1/1/2021,12/31/2021,472
61316,SPANISH PEAKS REGIONAL HEALTH,1/1/2021,12/31/2021,140
61320,GUNNISON VALLEY HOSPITAL,1/1/2021,12/31/2021,20
70012,ROCKVILLE GENERAL HOSPITAL  INC.,1/1/2021,12/31/2021,232
70027,MANCHESTER MEMORIAL HOSPITAL,1/1/2021,12/31/2021,227
100181,LARKIN COMMUNITY HOSPITAL,1/1/2021,12/31/2021,128
101300,ADVENTHEALTH WAUCHULA,1/1/2021,12/31/2021,25
101304,CALHOUN-LIBERTY HOSPITAL ASSN,1/1/2021,12/31/2021,10
102021,BAYCARE ALLIANT HOSPITAL,1/1/2021,12/31/2021,48
102026,ADVENTHEALTH CONNERTON,1/1/2021,12/31/2021,77
103043,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,80
103046,ARCHER REHABILITATION  LLC,1/1/2021,12/31/2021,60
103047,ENCOMPASS HEALTH REHABILITATION HOSP,4/28/2021,12/31/2021,50
104070,PORT ST LUCIE HOSPITAL,1/1/2021,12/31/2021,75
140172,FRANCISCAN ST. JAMES HEALTH,1/1/2021,12/31/2021,178
150128,COMMUNITY HOSPITAL SOUTH,1/1/2021,12/31/2021,169
150169,COMMUNITY HOSPITAL OF INDIANA  INC.,1/1/2021,12/31/2021,328
184006,SUN BEHAVIORAL HEALTH - KENTUCKY,1/1/2021,12/31/2021,197
190303,HAMMOND SURGICAL  LLC,1/1/2021,12/31/2021,30
191326,REEVES MEMORIAL MEDICAL CENTER,1/1/2021,12/31/2021,15
193069,STERLINGTON CRITICAL ACCESS HOSPITAL,1/1/2021,12/31/2021,10
194081,OCEANS BEHAVIORAL HOSPITAL OF DERIDD,1/1/2021,12/31/2021,20
240056,RIDGEVIEW MEDICAL CENTER,1/1/2021,12/31/2021,109
251320,CLAIBORNE COUNTY HOSPITAL,1/1/2021,12/31/2021,32
310058,BERGEN NEW BRIDGE MEDICAL CENTER,1/1/2021,12/31/2021,1020
320059,NORTHERN NAVAJO MEDICAL CENTER,10/1/2020,9/30/2021,60
330043,SOUTH SHORE UNIVERSITY HOSPITAL,1/1/2021,12/31/2021,304
330045,HUNTINGTON HOSPITAL,1/1/2021,12/31/2021,280
330107,PECONIC BAY MEDICAL CENTER,1/1/2021,12/31/2021,190
330119,LENOX HILL HOSPITAL,1/1/2021,12/31/2021,442
330195,LONG ISLAND JEWISH MEDICAL CENTER,1/1/2021,12/31/2021,1512
330211,CLAXTON HEPBURN MEDICAL CENTER,1/1/2021,12/31/2021,66
330261,PHELPS MEMORIAL HOSPITAL CENTER,1/1/2021,12/31/2021,200
330331,PLAINVIEW HOSPITAL,1/1/2021,12/31/2021,156
331318,CARTHAGE AREA HOSPITAL,1/1/2021,12/31/2021,25
332006,CALVARY HOSPITAL  INC.,1/1/2021,12/31/2021,225
340020,CENTRAL CAROLINA HOSPITAL,1/1/2021,12/31/2021,127
363304,CLEVELAND CLINIC CHILDRENS HOSP FOR,1/1/2021,12/31/2021,
371307,CIMARRON MEMORIAL HOSPITAL,1/1/2021,12/31/2021,25
371331,DRUMRIGHT REGIONAL HOSPITAL,1/1/2021,12/31/2021,15
400114,HOSPITAL DR. ALEJANDRO OTERO,1/1/2021,12/31/2021,266
450422,BAYLOR MEDICAL CENTER AT UPTOWN,1/1/2021,12/31/2021,24
450684,MEMORIAL HERMANN NORTHEAST,1/1/2021,12/31/2021,242
450774,TOPS SURGICAL SPECIALTY HOSPITAL,1/1/2021,12/31/2021,15
450808,NORTHWEST HILLS SURGICAL HOSPITAL,1/1/2021,12/31/2021,8
450827,KELL WEST REGIONAL HOSPITAL,1/1/2021,12/31/2021,41
450864,TEXAS SPINE AND JOINT HOSPITAL,1/1/2021,12/31/2021,20
451312,RICE MEDICAL CENTER,1/1/2021,12/31/2021,21
451317,REFUGIO MEMORIAL HOSPITAL,1/1/2021,12/31/2021,20
451345,CROSBYTON CLINIC HOSPITAL,1/1/2021,12/31/2021,2
451384,D.M. COGDELL MEMORIAL HOSPITAL,1/1/2021,12/31/2021,25
453025,MEMORIAL HERMANN TIRR,1/1/2021,12/31/2021,134
454110,OCEANS BEHAV HOSP OF PERMIAN BASIN,1/1/2021,12/31/2021,62
454117,OCEANS BEHAVIORAL HOSPITAL OF LONGV,1/1/2021,12/31/2021,24
454118,LONESTAR BEHAVIORAL HEALTH,1/1/2021,12/31/2021,24
454122,OCEANS BEHAVIORAL HOSPITAL OF ABILEN,1/1/2021,12/31/2021,90
454123,OCEANS BEHAVIORAL HOSPITAL OF LUFKIN,1/1/2021,12/31/2021,24
454131,WESTPARK SPRINGS,1/1/2021,12/31/2021,72
454134,HAVEN BEHAVIORAL HOSPITAL OF FRISCO,1/1/2021,12/31/2021,70
454136,OCEANS BEHAVIORAL HOSPITAL OF KATY,1/1/2021,12/31/2021,48
454144,WOODLAND SPRINGS,1/1/2021,12/31/2021,96
454147,OCEANS BEHAVIORAL HOSPITAL PASADENA,1/1/2021,12/31/2021,40
454150,OCEANS BEHAVIORAL HOSPITAL WACO,1/1/2021,12/31/2021,48
670005,MEMORIAL HERMANN KINGWOOD,1/1/2021,12/31/2021,10
670008,WEBSTER SURGICAL SPECIALTY HOSPITAL,1/1/2021,12/31/2021,20
670049,NORTH CENTRAL SURGICAL HOSPITAL,1/1/2021,12/31/2021,24
670069,METHODIST MCKINNEY HOSPITAL,1/1/2021,12/31/2021,23
670073,METHODIST HOSPITAL FOR SURGERY,1/1/2021,12/31/2021,32
670076,HERITAGE PARK SURGICAL HOSPITAL,1/1/2021,12/31/2021,12
673039,ENCOMPASS HEALTH REHABILITATION HOSP,1/1/2021,12/31/2021,60
673055,ACCEL REHABILITATION HOSPITAL PLANO,1/1/2021,12/31/2021,149
673062,WEATHERFORD REABILITATION HOSPITAL,1/1/2021,12/31/2021,26
673074,EVEREST REHABILITATION HOSPITAL TEMP,1/1/2021,12/31/2021,36
673076,REHAB HOSPITAL OF FLOWER MOUND,2/5/2021,12/31/2021,29
13300,THE CHILDRENS HOSPITAL OF ALABAMA,1/1/2021,12/31/2021,351
20001,PROVIDENCE ALASKA MEDICAL CENTER,1/1/2021,12/31/2021,401
21301,PROVIDENCE VALDEZ MEDICAL CENTER,1/1/2021,12/31/2021,21
21302,PROVIDENCE SEWARD MEDICAL & CARE CEN,1/1/2021,12/31/2021,46
21307,CORDOVA COMMUNITY MEDICAL CENTER,1/1/2021,12/31/2021,23
22001,ALASKA SPECIALTY HOSPITAL  LLC,1/1/2021,12/31/2021,56
30038,HONORHEALTH SCOTTSDALE OSBORN MED CT,1/1/2021,12/31/2021,351
30062,SUMMIT HEALTHCARE,1/1/2021,12/31/2021,101
30092,HONORHEALTH DEER VALLEY MED CTR,1/1/2021,12/31/2021,204
30123,HONORHEALTH SCOTTSDALE THOMPSON PEAK,1/1/2021,12/31/2021,120
30136,ARIZONA GENERAL HOSPITAL,1/1/2021,12/31/2021,16
30146,HONORHEALTH SONORAN CROSSING MED CTR,1/1/2021,12/31/2021,70
31302,NORTHERN COCHISE COMMUNITY HOSPITAL,7/1/2021,12/31/2021,24
31314,COBRE VALLEY REG. MEDICAL CENTER,1/1/2021,12/31/2021,25
33302,PHOENIX CHILDRENS HOSPITAL,1/1/2021,12/31/2021,324
50070,KFH - SOUTH SAN FRANCISCO,1/1/2021,12/31/2021,120
50071,KFH - SANTA CLARA,1/1/2021,12/31/2021,343
50073,KFH - VALLEJO,1/1/2021,12/31/2021,232
50075,KFH - OAKLAND,1/1/2021,12/31/2021,365
50076,KFH - SAN FRANCISCO,1/1/2021,12/31/2021,239
50135,SO CALIF HOSPITAL AT HOLLYWOOD,1/1/2021,12/31/2021,612
50137,KFH - PANORAMA CITY,1/1/2021,12/31/2021,218
50138,KFH - LOS ANGELES,1/1/2021,12/31/2021,560
50140,KFH - FONTANA,1/1/2021,12/31/2021,674
50152,SAINT FRANCIS MEMORIAL HOSPITAL,1/1/2021,12/31/2021,211
50231,POMONA VALLEY HOSPITAL MED CTR,1/1/2021,12/31/2021,412
50301,ADVENTIST HEALTH UKIAH VALLEY,1/1/2021,12/31/2021,50
50352,BARTON MEMORIAL HOSPITAL,1/1/2021,12/31/2021,111
50411,KFH - SOUTH BAY,1/1/2021,12/31/2021,257
50425,KFH - SACRAMENTO,1/1/2021,12/31/2021,287
50438,HUNTINGTON HOSPITAL,1/1/2021,12/31/2021,563
50455,ADVENTIST HEALTH BAKERSFIELD,1/1/2021,12/31/2021,254
50510,KFH - SAN RAFAEL,1/1/2021,12/31/2021,107
50541,KFH - REDWOOD CITY,1/1/2021,12/31/2021,140
50561,KFH - WEST LOS ANGELES,1/1/2021,12/31/2021,265
50604,KFH- SAN JOSE,1/1/2021,12/31/2021,235
50608,DELANO REGIONAL MED. CTR.,1/1/2021,12/31/2021,156
50609,KFH - OC-ANAHEIM,1/1/2021,12/31/2021,526
50663,LOS ANGELES COMMUNITY HOSPITAL,1/1/2021,12/31/2021,212
50674,KFH - SOUTH SACRAMENTO,1/1/2021,12/31/2021,233
50677,KFH - WOODLAND HILLS,1/1/2021,12/31/2021,274
50686,KFH - RIVERSIDE,1/1/2021,12/31/2021,226
50690,KFH - SANTA ROSA,1/1/2021,12/31/2021,162
50704,MISSION COMMUNITY HOSPITAL,1/1/2021,12/31/2021,145
50710,KFH - FRESNO,1/1/2021,12/31/2021,169
50714,SUTTER MATERNITY & SURGERY CENTER,1/1/2021,12/31/2021,28
50723,KFH - BALDWIN PARK,1/1/2021,12/31/2021,272
50726,STANISLAUS SURGICAL,1/1/2021,12/31/2021,23
50739,CENTINELA HOSPITAL MEDICAL CENTER,1/1/2021,12/31/2021,345
50748,KFH - MANTECA,1/1/2021,12/31/2021,213
50755,SHERMAN OAKS HOSPITAL-HLTH,1/1/2021,12/31/2021,153
50758,MONTCLAIR HOSPITAL MEDICAL CENTER,1/1/2021,12/31/2021,106
50760,KFH - ANTIOCH,1/1/2021,12/31/2021,136
50765,KFH - MORENO VALLEY,1/1/2021,12/31/2021,94
50766,SUTTER SURGICAL HOSP - NORTH VALLEY,1/1/2021,12/31/2021,14
50767,KFH - VACAVILLE,1/1/2021,12/31/2021,144
50772,KFH - ROSEVILLE,1/1/2021,12/31/2021,352
50776,COLLEGE MEDICAL CENTER,1/1/2021,12/31/2021,221
50777,KFH - SAN LEANDRO,1/1/2021,12/31/2021,206
50780,FOOTHILL REG MEDICAL CENTER,1/1/2021,12/31/2021,127
50784,ADVENTIST HEALTH TULARE,1/1/2021,12/31/2021,73
50785,DOCS SURGICAL HOSPITAL,1/1/2021,12/31/2021,17
51329,SUTTER LAKESIDE HOSPITAL,1/1/2021,12/31/2021,25
52055,CENTRAL VALLEY SPECIALTY HOSPITAL,1/1/2021,12/31/2021,100
61305,MELISSA MEMORIAL HOSPITAL,1/1/2021,12/31/2021,15
61315,YUMA DISTRICT HOSPITAL,1/1/2021,12/31/2021,15
61317,GRAND RIVER HOSPITAL DISTRICT,1/1/2021,12/31/2021,79
120002,MAUI MEMORIAL MEDICAL CENTER,1/1/2021,12/31/2021,219
121305,LANAI COMMUNITY HOSPITAL,1/1/2021,12/31/2021,14
121308,KULA HOSPITAL,1/1/2021,12/31/2021,123
130049,KOOTENAI HOSPITAL DISTRICT,1/1/2021,12/31/2021,329
130065,MOUNTAIN VIEW HOSPITAL,1/1/2021,12/31/2021,41
131309,CARIBOU MEMORIAL HOSPITAL,8/1/2021,12/31/2021,25
131327,GRITMAN MEDICAL CENTER,1/1/2021,12/31/2021,25
141309,CARLE EUREKA HOSPITAL,1/1/2021,12/31/2021,25
141316,HOOPESTON COMMUNITY MEMORIAL HOSPITA,1/1/2021,12/31/2021,22
150057,FRANCISCAN HEALTH MOORESVILLE,1/1/2021,12/31/2021,80
200031,CARY MEDICAL CENTER,1/1/2021,12/31/2021,58
201305,CALAIS COMMUNITY HOSPITAL,7/1/2021,12/31/2021,25
261315,PARKLAND HLTH CTR - BONNE TERRE,1/1/2021,12/31/2021,3
263032,MERCY REHABILITATION HOSPITAL-SPGF,1/1/2021,12/31/2021,60
264030,SIGNATURE PSYCH HOSPITAL,1/1/2021,12/31/2021,76
270014,ST PATRICK HOSPITAL,1/1/2021,12/31/2021,209
270017,SAINT JAMES HEALTHCARE,1/1/2021,12/31/2021,69
270049,ST VINCENT HEALTHCARE,1/1/2021,12/31/2021,221
271321,WHEATLAND MEMORIAL HEALTHCARE,1/1/2021,12/31/2021,25
271343,PROVIDENCE ST JOSEPH MEDICAL CTR,1/1/2021,12/31/2021,22
271347,HOLY ROSARY HEALTHCARE,1/1/2021,12/31/2021,109
290005,NORTH VISTA HOSPITAL,1/1/2021,12/31/2021,206
330008,WYOMING COUNTY COMMUNITY HOSPITAL,1/1/2021,12/31/2021,197
330073,UNITED MEMORIAL MEDICAL CENTER,1/1/2021,12/31/2021,126
330074,FREDRICK FERRIS THOMPSON HOSPITAL,1/1/2021,12/31/2021,291
330234,WESTCHESTER MEDICAL CENTER,1/1/2021,12/31/2021,910
330236,NEW YORK-PRESBYTERIAN/BROOKLYN METHO,1/1/2021,12/31/2021,541
330265,CLIFTON SPRINGS HOSPITAL & CLINIC,1/1/2021,12/31/2021,203
341314,CAH #1 - WASHINGTON,1/1/2021,12/31/2021,25
351321,WISHEK COMMUNITY HOSPITAL,1/1/2021,12/31/2021,24
360241,EDWIN SHAW REHAB  LLC,1/1/2021,12/31/2021,
363308,SHRINERS HOSPITALS FOR CHILDREN - C,1/1/2021,12/31/2021,
364058,SUN BEHAVIORAL COLUMBUS,1/1/2021,12/31/2021,126
371328,ARBUCKLE MEMORIAL HOSPITAL,1/1/2021,12/31/2021,25
380001,MID-COLUMBIA MEDICAL CENTER,1/1/2021,12/31/2021,49
380091,KAISER SUNNYSIDE MEDICAL CENTER,1/1/2021,12/31/2021,302
430089,SIOUXLAND SURGERY CENTER,1/1/2021,12/31/2021,38
450330,OAKBEND MEDICAL CENTER,1/1/2021,12/31/2021,218
451339,THROCKMORTON COUNTY HOSPITAL,1/1/2021,12/31/2021,14
461305,MILFORD VALLEY MEMORIAL HOSPITAL,1/1/2021,12/31/2021,23
461308,SAN JUAN HEALTH SERVICES DISTRICT,1/1/2021,12/31/2021,21
461309,KANE COUNTY HOSPITAL,1/1/2021,12/31/2021,25
500016,CENTRAL WASHINGTON HOSPITAL,1/1/2021,12/31/2021,176
500077,PROVIDENCE HOLY FAMILY HOSPITAL,1/1/2021,12/31/2021,184
500148,WENATCHEE VALLEY HOSPITAL,1/1/2021,12/31/2021,20
501308,COULEE MEDICAL CENTER,1/1/2021,12/31/2021,25
501309,PROVIDENCE ST JOSEPHS HOSPITAL,1/1/2021,12/31/2021,23
501316,KLICKITAT VALLEY HEALTH,1/1/2021,12/31/2021,16
501321,NORTH VALLEY HOSPITAL,1/1/2021,12/31/2021,18
501323,JEFFERSON GENERAL HOSPITAL,1/1/2021,12/31/2021,25
501326,PROVIDENCE MOUNT CARMEL HOSPITAL,1/1/2021,12/31/2021,25
501328,MID-VALLEY HOSPITAL,1/1/2021,12/31/2021,25
503025,ST. LUKES REHABILITATION INST.,1/1/2021,12/31/2021,91
504012,SMOKEY POINT BEHAVIORAL HOSPITAL,1/1/2021,12/31/2021,115
504015,SOUTH SOUND BEHAVIORAL HOSPITAL,1/1/2021,12/31/2021,108
530008,SAGE WEST HEALTH CARE,1/1/2021,12/31/2021,133
673027,CENTRAL TEXAS REHAB HOSPITAL,1/1/2021,12/31/2021,50
100121,BARTOW REGIONAL MEDICAL CENTER,1/1/2021,12/31/2021,72
110089,COFFEE REGIONAL MEDICAL CENTER,1/1/2021,12/31/2021,92
150042,GOOD SAMARITAN HOSPITAL,1/1/2021,12/31/2021,144
150158,IU HEALTH WEST HOSPITAL,1/1/2021,12/31/2021,156
150161,IU HEALTH NORTH HOSPITAL,1/1/2021,12/31/2021,149
151300,COMMUNITY HOSPITAL OF BREMEN  INC.,1/1/2021,12/31/2021,24
151331,HARRISON COUNTY HOSPITAL,1/1/2021,12/31/2021,25
161350,STEWART MEMORIAL HOSPITAL,1/1/2021,12/31/2021,25
161362,CHEROKEE REGIONAL MEDICAL CENTER,1/1/2021,12/31/2021,25
170146,PROVIDENCE MEDICAL CENTER,1/1/2021,12/31/2021,221
170166,MORTON COUNTY HEALTH SYSTEM,1/1/2021,12/31/2021,26
170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,1/1/2021,12/31/2021,17
171373,ALLEN COUNTY REGIONAL HOSPITAL,1/1/2021,12/31/2021,25
190034,ABBEVILLE GENERAL HOSPITAL,1/1/2021,12/31/2021,60
192007,BRIDGEPOINT CONTINUING CARE HOSPITAL,1/1/2021,12/31/2021,44
192041,ZACHARY-AMG SPECIALTY HOSPITAL,1/1/2021,12/31/2021,16
194085,COMPASS BEHAVIORAL CENTER  LLC,1/1/2021,12/31/2021,24
230013,PONTIAC GENERAL HOSPITAL,1/1/2021,12/31/2021,117
230121,MEMORIAL HEALTHCARE,1/1/2021,12/31/2021,145
230146,HENRY FORD HEALTH WYANDOTTE HOSPITAL,1/1/2021,12/31/2021,352
230244,GARDEN CITY HOSPITAL OSTEOPATHIC,1/1/2021,12/31/2021,164
234040,SAMARITAN BEHAVIORAL CENTER,1/1/2021,12/31/2021,55
234042,BEHAVIORAL CENTER OF MICHIGAN,1/1/2021,12/31/2021,42
250096,CROSSGATES RIVER OAKS HOSPITAL,1/1/2021,12/31/2021,82
260017,PHELPS COUNTY REGIONAL MEDICAL CNTR,1/1/2021,12/31/2021,242
260062,SAINT LUKES NORTH HOSPITAL,1/1/2021,12/31/2021,134
260070,PEMISCOT COUNTY MEMORIAL HOSPITAL,1/1/2021,12/31/2021,160
260085,ST JOSEPH MEDICAL CENTER,1/1/2021,12/31/2021,271
260097,WESTERN MISSOURI MEDICAL CENTER,1/1/2021,12/31/2021,59
260108,MISSOURI BAPTIST MEDICAL CENTER,1/1/2021,12/31/2021,426
261324,CASS REGIONAL MEDICAL CENTER,1/1/2021,12/31/2021,35
263030,ST. LUKES REHAB HOSPITAL,1/1/2021,12/31/2021,35
280040,NEBRASKA METHODIST HOSPITAL,1/1/2021,12/31/2021,374
451367,UT HEALTH EAST TEXAS PITTSBURG,12/1/2020,11/30/2021,25
500119,VALLEY HOSPITAL & MEDICAL CENTER,1/1/2021,12/31/2021,123
500139,CAPITAL MEDICAL CENTER,5/1/2021,12/4/2021,107
100107,LEHIGH REGIONAL,1/1/2021,12/31/2021,88
100166,HCA FLORIDA SARASOTA DOCTORS HOSPITA,1/1/2021,12/31/2021,155
112017,LANDMARK HOSPITAL OF ATHENS  LLC,1/1/2021,12/31/2021,42
151332,DECATUR CO. MEMORIAL HOSPITAL,1/1/2021,12/31/2021,25
153046,COBALT REHAB HOSPITAL LOUISVILLE,1/1/2021,12/31/2021,40
161367,PELLA REGIONAL HEALTH CENTER,1/1/2021,12/31/2021,31
170185,ST. LUKES SOUTH,1/1/2021,12/31/2021,165
171321,MEADE DISTRICT HOSPITAL,1/1/2021,12/31/2021,65
171322,HAMILTON COUNTY HOSPITAL,1/1/2021,12/31/2021,25
171323,STAFFORD COUNTY HOSPITAL,1/1/2021,12/31/2021,25
171324,SATANTA DISTRICT HOSPITAL,1/1/2021,12/31/2021,57
171325,GRAHAM COUNTY HOSPITAL,1/1/2021,12/31/2021,15
171343,STANTON COUNTY HOSPITAL,1/1/2021,12/31/2021,16
171351,WASHINGTON COUNTY HOSPITAL,1/1/2021,12/31/2021,25
171352,DECATUR COUNTY HOSPITAL,1/1/2021,12/31/2021,18
171364,OSBORNE COUNTY MEMORIAL HOSPITAL,1/1/2021,12/31/2021,16
171380,NEOSHO MEMORIAL REGIONAL MED CTR,1/1/2021,12/31/2021,21
171383,WILLIAM NEWTON MEMORIAL HOSPITAL,1/1/2021,12/31/2021,22
173033,MEADOWBROOK REHABILITATION HOSPITAL,1/1/2021,12/31/2021,96
190013,WEST CALCASIEU-CAMERON HOSPITAL,1/1/2021,12/31/2021,107
220098,NASHOBA VALLEY HOSPITAL,1/1/2021,12/31/2021,77
230015,THREE RIVERS HEALTH,1/1/2021,12/31/2021,60
230031,LAKE HURON MEDICAL CENTER,1/1/2021,12/31/2021,164
231303,SCHOOLCRAFT MEMORIAL HOSPITAL,1/1/2021,12/31/2021,12
30108,THE CORE INSTITUTE SPECIALTY HOSPITA,1/1/2021,12/31/2021,28
34035,AVENIR BEHAVIORAL HEALTH CENTER,1/1/2021,12/31/2021,32
40018,BAPTIST HEALTH MEDICAL CENTER - VB,1/1/2021,12/31/2021,74
40069,GREAT RIVER MEDICAL CENTER,1/1/2021,12/31/2021,28
41312,BHMC-HEBER SPRINGS,1/1/2021,12/31/2021,25
41317,DALLAS COUNTY MEDICAL CENTER,1/1/2021,12/31/2021,22
41321,BAPTIST HEALTH MED CTR ARKADELPHIA,1/1/2021,12/31/2021,25
42012,BAPTIST HEALTH EXTENDED CARE,1/1/2021,12/31/2021,36
50394,CMH OF SAN BUENAVENTURA,1/1/2021,12/31/2021,229
50775,TEMECULA VALLEY HOSPITAL,1/1/2021,12/31/2021,140
51990,SUNLAND HOME FOUNDATION,1/1/2021,12/31/2021,
100217,SEBASTIAN RIVER MEDICAL CENTER,1/1/2021,12/31/2021,178
100267,ENGLEWOOD COMMUNITY HOSPITAL,1/1/2021,12/31/2021,100
120011,KFH-HAWAII,1/1/2021,12/31/2021,285
130063,TREASURE VALLEY HOSPITAL,1/1/2021,12/31/2021,22
130066,NORTHWEST SPECIALTY HOSPITAL,1/1/2021,12/31/2021,32
131317,BENEWAH COMMUNITY HOSPITAL,1/1/2021,12/31/2021,19
134017,COTTONWOOD CREEK BEHAVIORAL HOSPITAL,1/1/2021,12/31/2021,92
150005,HENDRICKS REGIONAL HEALTH,1/1/2021,12/31/2021,130
150022,FRANCISCAN HEALTH CRAWFORDSVILLE,1/1/2021,12/31/2021,40
150024,ESKENAZI HEALTH,1/1/2021,12/31/2021,343
150026,GOSHEN HOSPITAL,1/1/2021,12/31/2021,109
150074,COMMUNITY HEALTH NETWORK  INC.,1/1/2021,12/31/2021,366
150113,COMMUNITY HOSPITAL ANDERSON,1/1/2021,12/31/2021,124
150165,FRANCISCAN HEALTH MUNSTER,1/1/2021,12/31/2021,75
150167,ORTHOPAEDIC HOSPT.AT PARKVIEW,1/1/2021,12/31/2021,37
160008,KEOKUK AREA HOSPITAL,1/1/2021,12/31/2021,49
160110,ALLEN MEMORIAL HOSPITAL,1/1/2021,12/31/2021,203
160117,THE FINLEY HOSPITAL,1/1/2021,12/31/2021,106
170009,SAINT JOHN HOSPITAL,1/1/2021,12/31/2021,52
170150,SOUTH CENTRAL KS REGIONAL MEDICAL CT,1/1/2021,12/31/2021,44
170197,KANSAS MEDICAL CENTER,1/1/2021,12/31/2021,58
171357,HILLSBORO COMMUNITY HOSPITAL,1/1/2021,12/31/2021,15
171379,MORRIS COUNTY HOSPITAL,1/1/2021,12/31/2021,21
171384,NEWMAN REGIONAL HEALTH,1/1/2021,12/31/2021,31
174020,COTTONWOOD SPRINGS,1/1/2021,12/31/2021,72
190045,ST. TAMMANY PARISH HOSPITAL,1/1/2021,12/31/2021,213
190046,TOURO INFIRMARY,1/1/2021,12/31/2021,340
190088,SPRINGHILL MEDICAL CENTER,1/1/2021,12/31/2021,58
190313,NEW ORLEANS EAST HOSPITAL,1/1/2021,12/31/2021,60
193086,LEESVILLE REHABILITATION HOSPITAL,1/1/2021,12/31/2021,16
194080,BEACON BEH HOSP NORTHSHORE,1/1/2021,12/31/2021,22
230047,HENRY FORD HEALTH MACOMB HOSPITAL,1/1/2021,12/31/2021,415
230273,DETROIT RECEIVING HOSPITAL,1/1/2021,12/31/2021,223
250128,PANOLA MEDICAL CENTER,1/1/2021,12/31/2021,67
260216,ST. LUKES EAST - LEES SUMMIT,1/1/2021,12/31/2021,216
263029,MERCY REHABILITATION HOSPITAL - ST L,1/1/2021,12/31/2021,90
271307,BENEFIS TETON MEDICAL CENTER,1/1/2021,12/31/2021,25
292008,CARSON TAHOE CONTINUING CARE HOSPITA,1/1/2021,12/31/2021,29
313030,BACHARACH INSTITUTE FOR REHABILITATI,1/1/2021,12/31/2021,80
370026,ST MARYS REGL MEDICAL CENTER,1/1/2021,12/31/2021,164
370094,SSM HEALTH ST ANTHONY HOSPITAL - MID,4/1/2021,12/31/2021,145
380047,ST CHARLES MEDICAL CENTER,1/1/2021,12/31/2021,350
380056,SANTIAM MEMORIAL HOSPITAL,1/1/2021,12/31/2021,40
380060,ADVENTIST MEDICAL CENTER-PORTLAND,1/1/2021,12/31/2021,211
380103,KAISER WESTSIDE MEDICAL CENTER,1/1/2021,12/31/2021,122
381313,ST. CHARLES MED CTR - PRINEVILLE,1/1/2021,12/31/2021,16
381317,TILLAMOOK REGIONAL MEDICAL CENTER,1/1/2021,12/31/2021,25
381324,ST CHARLES MADRAS,1/1/2021,12/31/2021,25
382004,VIBRA SPECIALTY HOSP PORTLAND,2/1/2021,1/31/2022,73
431319,PHILIP HEALTH SERVICES INC,1/1/2021,12/31/2021,48
431322,FALL RIVER HOSPITAL,1/1/2021,12/31/2021,84
450653,SCENIC MOUNTAIN MEDICAL CENTER,1/1/2021,12/31/2021,95
450688,DALLAS REGIONAL MEDICAL CENTER,1/1/2021,12/31/2021,202
451307,IRAAN GENERAL HOSPITAL DISTRICT,1/1/2021,12/31/2021,14
460011,CASTLEVIEW HOSPITAL,1/1/2021,12/31/2021,39
500052,KFH - WASHINGTON,1/1/2021,12/31/2021,24
500053,TRIOS HEALTH,1/1/2021,12/31/2021,111
501303,WILLAPA HARBOR HOSPITAL,1/1/2021,12/31/2021,10
501304,SUMMIT PACIFIC MEDICAL CENTER,1/1/2021,12/31/2021,10
501310,NEWPORT COMMUNITY HOSPITAL,1/1/2021,12/31/2021,20
501312,PROSSER MEMORIAL HEALTH,1/1/2021,12/31/2021,25
501314,OCEAN BEACH HOSPITAL,1/1/2021,12/31/2021,25
501320,QUINCY VALLEY MEDICAL CENTER,1/1/2021,12/31/2021,10
501324,THREE RIVERS HOSPITAL,1/1/2021,12/31/2021,25
501325,FORKS COMMUNITY HOSPITAL,1/1/2021,12/31/2021,37
501327,WHITMAN HOSPITAL & MEDICAL CENTER,1/1/2021,12/31/2021,25
501334,LAKE CHELAN COMMUNITY HOSPITAL,1/1/2021,12/31/2021,22
501336,MASON GENERAL HOSPITAL,1/1/2021,12/31/2021,25
713026,BOGALUSA REHABILITATION HOSPITAL,1/1/2021,12/31/2021,10
100070,VENICE REGIONAL BAYFRONT HEALTH,1/1/2021,12/31/2021,229
110189,FANNIN REGIONAL HOSPITAL,1/1/2021,12/31/2021,50
150168,LUTHERAN MUSCULOSKELETAL CENTER,1/1/2021,12/31/2021,39
151328,INDIANA UNIVERSITY HEALTH BEDFORD,1/1/2021,12/31/2021,25
153042,LAFAYETTE REGIONAL REHABILITATION HO,1/1/2021,12/31/2021,40
153043,COMMUNITY HEALTH NETWORK REHAB HOSP,1/1/2021,12/31/2021,60
153044,COMMUNITY HEALTH REHAB HOSPITAL SOUT,1/1/2021,12/31/2021,44
210016,AHC WHITE OAK MEDICAL CENTER,1/1/2021,12/31/2021,178
